GroupName,ChartName,point_time,point_val,Matching,Lot No,Inspector,Equipment
PART-A01,Roughness,2025/01/01 00:00,0.7662,VendorTW,L001,ENG3,EQP-03
PART-A01,Roughness,2025/01/01 06:00,0.7905,VendorTW,L002,ENG2,EQP-04
PART-A01,Roughness,2025/01/01 12:00,0.7728,VendorTW,L003,ENG1,EQP-01
PART-A01,Roughness,2025/01/01 18:00,0.7117,VendorTW,L004,ENG1,EQP-01
PART-A01,Roughness,2025/01/02 00:00,0.7932,VendorTW,L005,ENG3,EQP-01
PART-A01,Roughness,2025/01/02 06:00,0.8319,VendorTW,L006,ENG2,EQP-03
PART-A01,Roughness,2025/01/02 12:00,0.7591,VendorTW,L007,ENG2,EQP-02
PART-A01,Roughness,2025/01/02 18:00,0.7409,VendorTW,L008,ENG2,EQP-02
PART-A01,Roughness,2025/01/03 00:00,0.7865,VendorTW,L009,ENG3,EQP-03
PART-A01,Roughness,2025/01/03 06:00,0.7964,VendorTW,L010,ENG1,EQP-03
PART-A01,Roughness,2025/01/03 12:00,0.7091,VendorTW,L011,ENG1,EQP-04
PART-A01,Roughness,2025/01/03 18:00,0.8834,VendorTW,L012,ENG1,EQP-03
PART-A01,Roughness,2025/01/04 00:00,0.7255,VendorTW,L013,ENG3,EQP-04
PART-A01,Roughness,2025/01/04 06:00,0.8132,VendorTW,L014,ENG3,EQP-03
PART-A01,Roughness,2025/01/04 12:00,0.8667,VendorTW,L015,ENG2,EQP-01
PART-A01,Roughness,2025/01/04 18:00,0.7951,VendorTW,L016,ENG3,EQP-03
PART-A01,Roughness,2025/01/05 00:00,0.834,VendorTW,L017,ENG3,EQP-02
PART-A01,Roughness,2025/01/05 06:00,0.7843,VendorTW,L018,ENG1,EQP-04
PART-A01,Roughness,2025/01/05 12:00,0.7768,VendorTW,L019,ENG3,EQP-02
PART-A01,Roughness,2025/01/05 18:00,0.7489,VendorTW,L020,ENG2,EQP-04
PART-A01,Roughness,2025/01/06 00:00,0.789,VendorTW,L021,ENG2,EQP-01
PART-A01,Roughness,2025/01/06 06:00,0.7862,VendorTW,L022,ENG3,EQP-01
PART-A01,Roughness,2025/01/06 12:00,0.7636,VendorTW,L023,ENG3,EQP-02
PART-A01,Roughness,2025/01/06 18:00,0.7782,VendorTW,L024,ENG2,EQP-01
PART-A01,Roughness,2025/01/07 00:00,0.8112,VendorTW,L025,ENG1,EQP-01
PART-A01,Roughness,2025/01/07 06:00,0.8345,VendorTW,L026,ENG1,EQP-03
PART-A01,Roughness,2025/01/07 12:00,0.6947,VendorTW,L027,ENG3,EQP-02
PART-A01,Roughness,2025/01/07 18:00,0.7772,VendorTW,L028,ENG1,EQP-01
PART-A01,Roughness,2025/01/08 00:00,0.8113,VendorTW,L029,ENG3,EQP-02
PART-A01,Roughness,2025/01/08 06:00,0.8254,VendorTW,L030,ENG3,EQP-01
PART-A01,Roughness,2025/01/08 12:00,0.7501,VendorTW,L031,ENG2,EQP-02
PART-A01,Roughness,2025/01/08 18:00,0.7038,VendorTW,L032,ENG2,EQP-01
PART-A01,Roughness,2025/01/09 00:00,0.7651,VendorTW,L033,ENG1,EQP-04
PART-A01,Roughness,2025/01/09 06:00,0.709,VendorTW,L034,ENG1,EQP-02
PART-A01,Roughness,2025/01/09 12:00,0.7787,VendorTW,L035,ENG3,EQP-04
PART-A01,Roughness,2025/01/09 18:00,0.7534,VendorTW,L036,ENG2,EQP-03
PART-A01,Roughness,2025/01/10 00:00,0.8128,VendorTW,L037,ENG1,EQP-03
PART-A01,Roughness,2025/01/10 06:00,0.8507,VendorTW,L038,ENG1,EQP-02
PART-A01,Roughness,2025/01/10 12:00,0.8217,VendorTW,L039,ENG3,EQP-03
PART-A01,Roughness,2025/01/10 18:00,0.8459,VendorTW,L040,ENG2,EQP-02
PART-A01,Roughness,2025/01/11 00:00,0.7931,VendorTW,L041,ENG1,EQP-01
PART-A01,Roughness,2025/01/11 06:00,0.7789,VendorTW,L042,ENG3,EQP-02
PART-A01,Roughness,2025/01/11 12:00,0.7191,VendorTW,L043,ENG1,EQP-03
PART-A01,Roughness,2025/01/11 18:00,0.7788,VendorTW,L044,ENG1,EQP-03
PART-A01,Roughness,2025/01/12 00:00,0.7952,VendorTW,L045,ENG1,EQP-01
PART-A01,Roughness,2025/01/12 06:00,0.8262,VendorTW,L046,ENG2,EQP-01
PART-A01,Roughness,2025/01/12 12:00,0.8733,VendorTW,L047,ENG2,EQP-01
PART-A01,Roughness,2025/01/12 18:00,0.8447,VendorTW,L048,ENG3,EQP-03
PART-A01,Roughness,2025/01/13 00:00,0.789,VendorTW,L049,ENG3,EQP-04
PART-A01,Roughness,2025/01/13 06:00,0.7536,VendorTW,L050,ENG1,EQP-01
PART-A01,Roughness,2025/01/13 12:00,0.6966,VendorTW,L051,ENG1,EQP-04
PART-A01,Roughness,2025/01/13 18:00,0.7333,VendorTW,L052,ENG1,EQP-01
PART-A01,Roughness,2025/01/14 00:00,0.7589,VendorTW,L053,ENG3,EQP-04
PART-A01,Roughness,2025/01/14 06:00,0.7423,VendorTW,L054,ENG3,EQP-01
PART-A01,Roughness,2025/01/14 12:00,0.6704,VendorTW,L055,ENG3,EQP-03
PART-A01,Roughness,2025/01/14 18:00,0.7977,VendorTW,L056,ENG1,EQP-02
PART-A01,Roughness,2025/01/15 00:00,0.7939,VendorTW,L057,ENG3,EQP-02
PART-A01,Roughness,2025/01/15 06:00,0.7842,VendorTW,L058,ENG3,EQP-02
PART-A01,Roughness,2025/01/15 12:00,0.7041,VendorTW,L059,ENG2,EQP-04
PART-A01,Roughness,2025/01/15 18:00,0.6573,VendorTW,L060,ENG2,EQP-04
PART-A01,Roughness,2025/01/01 00:00,0.7575,VendorJP,L001,ENG3,EQP-01
PART-A01,Roughness,2025/01/01 06:00,0.8484,VendorJP,L002,ENG3,EQP-04
