GroupName,ChartName,point_time,point_val,Matching,Lot No,Inspector,Equipment
PART-A02,Flatness,2025/01/01 00:00,0.1767,VendorTW,L001,ENG3,EQP-02
PART-A02,Flatness,2025/01/01 06:00,0.1571,VendorTW,L002,ENG2,EQP-03
PART-A02,Flatness,2025/01/01 12:00,0.2105,VendorTW,L003,ENG1,EQP-02
PART-A02,Flatness,2025/01/01 18:00,0.2179,VendorTW,L004,ENG1,EQP-02
PART-A02,Flatness,2025/01/02 00:00,0.1672,VendorTW,L005,ENG3,EQP-02
PART-A02,Flatness,2025/01/02 06:00,0.2149,VendorTW,L006,ENG2,EQP-02
PART-A02,Flatness,2025/01/02 12:00,0.1743,VendorTW,L007,ENG3,EQP-04
PART-A02,Flatness,2025/01/02 18:00,0.1866,VendorTW,L008,ENG1,EQP-04
PART-A02,Flatness,2025/01/03 00:00,0.1937,VendorTW,L009,ENG3,EQP-04
PART-A02,Flatness,2025/01/03 06:00,0.1754,VendorTW,L010,ENG1,EQP-01
PART-A02,Flatness,2025/01/03 12:00,0.1784,VendorTW,L011,ENG1,EQP-02
PART-A02,Flatness,2025/01/03 18:00,0.1722,VendorTW,L012,ENG1,EQP-02
PART-A02,Flatness,2025/01/04 00:00,0.1655,VendorTW,L013,ENG3,EQP-01
PART-A02,Flatness,2025/01/04 06:00,0.1701,VendorTW,L014,ENG3,EQP-02
PART-A02,Flatness,2025/01/04 12:00,0.1792,VendorTW,L015,ENG2,EQP-03
PART-A02,Flatness,2025/01/04 18:00,0.21,VendorTW,L016,ENG3,EQP-04
PART-A02,Flatness,2025/01/05 00:00,0.1957,VendorTW,L017,ENG2,EQP-03
PART-A02,Flatness,2025/01/05 06:00,0.1989,VendorTW,L018,ENG1,EQP-04
PART-A02,Flatness,2025/01/05 12:00,0.193,VendorTW,L019,ENG1,EQP-04
PART-A02,Flatness,2025/01/05 18:00,0.2297,VendorTW,L020,ENG2,EQP-02
PART-A02,Flatness,2025/01/06 00:00,0.1863,VendorTW,L021,ENG2,EQP-03
PART-A02,Flatness,2025/01/06 06:00,0.2305,VendorTW,L022,ENG3,EQP-04
PART-A02,Flatness,2025/01/06 12:00,0.1933,VendorTW,L023,ENG2,EQP-01
PART-A02,Flatness,2025/01/06 18:00,0.2013,VendorTW,L024,ENG1,EQP-03
PART-A02,Flatness,2025/01/07 00:00,0.2036,VendorTW,L025,ENG3,EQP-04
PART-A02,Flatness,2025/01/07 06:00,0.1903,VendorTW,L026,ENG3,EQP-04
PART-A02,Flatness,2025/01/07 12:00,0.2046,VendorTW,L027,ENG3,EQP-04
PART-A02,Flatness,2025/01/07 18:00,0.1673,VendorTW,L028,ENG1,EQP-04
PART-A02,Flatness,2025/01/08 00:00,0.1947,VendorTW,L029,ENG3,EQP-01
PART-A02,Flatness,2025/01/08 06:00,0.18,VendorTW,L030,ENG3,EQP-03
PART-A02,Flatness,2025/01/08 12:00,0.1774,VendorTW,L031,ENG3,EQP-03
PART-A02,Flatness,2025/01/08 18:00,0.2034,VendorTW,L032,ENG1,EQP-03
PART-A02,Flatness,2025/01/09 00:00,0.1904,VendorTW,L033,ENG3,EQP-04
PART-A02,Flatness,2025/01/09 06:00,0.1864,VendorTW,L034,ENG1,EQP-02
PART-A02,Flatness,2025/01/09 12:00,0.186,VendorTW,L035,ENG3,EQP-03
PART-A02,Flatness,2025/01/09 18:00,0.183,VendorTW,L036,ENG1,EQP-04
PART-A02,Flatness,2025/01/10 00:00,0.1711,VendorTW,L037,ENG1,EQP-02
PART-A02,Flatness,2025/01/10 06:00,0.238,VendorTW,L038,ENG1,EQP-02
PART-A02,Flatness,2025/01/10 12:00,0.1814,VendorTW,L039,ENG1,EQP-02
PART-A02,Flatness,2025/01/10 18:00,0.1931,VendorTW,L040,ENG1,EQP-03
PART-A02,Flatness,2025/01/11 00:00,0.1722,VendorTW,L041,ENG2,EQP-03
PART-A02,Flatness,2025/01/11 06:00,0.2154,VendorTW,L042,ENG3,EQP-01
PART-A02,Flatness,2025/01/11 12:00,0.1943,VendorTW,L043,ENG1,EQP-04
PART-A02,Flatness,2025/01/11 18:00,0.203,VendorTW,L044,ENG3,EQP-03
PART-A02,Flatness,2025/01/12 00:00,0.1973,VendorTW,L045,ENG3,EQP-01
PART-A02,Flatness,2025/01/12 06:00,0.2054,VendorTW,L046,ENG1,EQP-01
PART-A02,Flatness,2025/01/12 12:00,0.2279,VendorTW,L047,ENG1,EQP-02
PART-A02,Flatness,2025/01/12 18:00,0.1868,VendorTW,L048,ENG1,EQP-01
PART-A02,Flatness,2025/01/13 00:00,0.2039,VendorTW,L049,ENG1,EQP-01
PART-A02,Flatness,2025/01/13 06:00,0.1891,VendorTW,L050,ENG1,EQP-04
PART-A02,Flatness,2025/01/13 12:00,0.1841,VendorTW,L051,ENG3,EQP-03
PART-A02,Flatness,2025/01/13 18:00,0.1548,VendorTW,L052,ENG2,EQP-01
PART-A02,Flatness,2025/01/14 00:00,0.1991,VendorTW,L053,ENG2,EQP-01
PART-A02,Flatness,2025/01/14 06:00,0.2088,VendorTW,L054,ENG1,EQP-04
PART-A02,Flatness,2025/01/14 12:00,0.2153,VendorTW,L055,ENG1,EQP-02
PART-A02,Flatness,2025/01/14 18:00,0.2028,VendorTW,L056,ENG1,EQP-03
PART-A02,Flatness,2025/01/15 00:00,0.1988,VendorTW,L057,ENG2,EQP-02
PART-A02,Flatness,2025/01/15 06:00,0.2051,VendorTW,L058,ENG3,EQP-01
PART-A02,Flatness,2025/01/15 12:00,0.1672,VendorTW,L059,ENG1,EQP-01
PART-A02,Flatness,2025/01/15 18:00,0.2095,VendorTW,L060,ENG1,EQP-02
PART-A02,Flatness,2025/01/01 00:00,0.1915,VendorJP,L001,ENG2,EQP-04
PART-A02,Flatness,2025/01/01 06:00,0.2283,VendorJP,L002,ENG2,EQP-02
PART-A02,Flatness,2025/01/01 12:00,0.1696,VendorJP,L003,ENG1,EQP-04
PART-A02,Flatness,2025/01/01 18:00,0.2042,VendorJP,L004,ENG1,EQP-02
PART-A02,Flatness,2025/01/02 00:00,0.2159,VendorJP,L005,ENG1,EQP-01
PART-A02,Flatness,2025/01/02 06:00,0.2176,VendorJP,L006,ENG3,EQP-03
PART-A02,Flatness,2025/01/02 12:00,0.1512,VendorJP,L007,ENG2,EQP-04
PART-A02,Flatness,2025/01/02 18:00,0.1789,VendorJP,L008,ENG1,EQP-04
PART-A02,Flatness,2025/01/03 00:00,0.1768,VendorJP,L009,ENG1,EQP-04
PART-A02,Flatness,2025/01/03 06:00,0.2085,VendorJP,L010,ENG2,EQP-02
PART-A02,Flatness,2025/01/03 12:00,0.213,VendorJP,L011,ENG3,EQP-03
PART-A02,Flatness,2025/01/03 18:00,0.2031,VendorJP,L012,ENG1,EQP-03
