GroupName,ChartName,point_time,point_val,Matching,Lot No,Inspector,Equipment
PART-B01,Roughness,2025/01/01 00:00,0.7507,VendorTW,L001,ENG1,EQP-03
PART-B01,Roughness,2025/01/01 06:00,0.7519,VendorTW,L002,ENG2,EQP-02
PART-B01,Roughness,2025/01/01 12:00,0.7734,VendorTW,L003,ENG1,EQP-03
PART-B01,Roughness,2025/01/01 18:00,0.738,VendorTW,L004,ENG2,EQP-01
PART-B01,Roughness,2025/01/02 00:00,0.8006,VendorTW,L005,ENG1,EQP-03
PART-B01,Roughness,2025/01/02 06:00,0.7882,VendorTW,L006,ENG1,EQP-04
PART-B01,Roughness,2025/01/02 12:00,0.7585,VendorTW,L007,ENG3,EQP-01
PART-B01,Roughness,2025/01/02 18:00,0.8571,VendorTW,L008,ENG1,EQP-03
PART-B01,Roughness,2025/01/03 00:00,0.8196,VendorTW,L009,ENG1,EQP-02
PART-B01,Roughness,2025/01/03 06:00,0.7696,VendorTW,L010,ENG3,EQP-01
PART-B01,Roughness,2025/01/03 12:00,0.793,VendorTW,L011,ENG2,EQP-01
PART-B01,Roughness,2025/01/03 18:00,0.8321,VendorTW,L012,ENG2,EQP-02
PART-B01,Roughness,2025/01/04 00:00,0.8099,VendorTW,L013,ENG2,EQP-02
PART-B01,Roughness,2025/01/04 06:00,0.7965,VendorTW,L014,ENG1,EQP-01
PART-B01,Roughness,2025/01/04 12:00,0.7911,VendorTW,L015,ENG3,EQP-02
PART-B01,Roughness,2025/01/04 18:00,0.7947,VendorTW,L016,ENG2,EQP-04
PART-B01,Roughness,2025/01/05 00:00,0.753,VendorTW,L017,ENG1,EQP-03
PART-B01,Roughness,2025/01/05 06:00,0.7771,VendorTW,L018,ENG2,EQP-02
PART-B01,Roughness,2025/01/05 12:00,0.7585,VendorTW,L019,ENG2,EQP-02
PART-B01,Roughness,2025/01/05 18:00,0.8554,VendorTW,L020,ENG1,EQP-03
PART-B01,Roughness,2025/01/06 00:00,0.854,VendorTW,L021,ENG3,EQP-04
PART-B01,Roughness,2025/01/06 06:00,0.8102,VendorTW,L022,ENG1,EQP-02
PART-B01,Roughness,2025/01/06 12:00,0.7969,VendorTW,L023,ENG2,EQP-01
PART-B01,Roughness,2025/01/06 18:00,0.7575,VendorTW,L024,ENG2,EQP-04
PART-B01,Roughness,2025/01/07 00:00,0.7466,VendorTW,L025,ENG3,EQP-01
PART-B01,Roughness,2025/01/07 06:00,0.7554,VendorTW,L026,ENG1,EQP-02
PART-B01,Roughness,2025/01/07 12:00,0.8287,VendorTW,L027,ENG2,EQP-01
PART-B01,Roughness,2025/01/07 18:00,0.7965,VendorTW,L028,ENG1,EQP-04
PART-B01,Roughness,2025/01/08 00:00,0.7383,VendorTW,L029,ENG1,EQP-03
PART-B01,Roughness,2025/01/08 06:00,0.7877,VendorTW,L030,ENG3,EQP-04
PART-B01,Roughness,2025/01/08 12:00,0.7614,VendorTW,L031,ENG1,EQP-04
PART-B01,Roughness,2025/01/08 18:00,0.7487,VendorTW,L032,ENG2,EQP-02
PART-B01,Roughness,2025/01/09 00:00,0.6574,VendorTW,L033,ENG1,EQP-01
PART-B01,Roughness,2025/01/09 06:00,0.8489,VendorTW,L034,ENG3,EQP-01
PART-B01,Roughness,2025/01/09 12:00,0.8364,VendorTW,L035,ENG3,EQP-04
PART-B01,Roughness,2025/01/09 18:00,0.7706,VendorTW,L036,ENG2,EQP-02
PART-B01,Roughness,2025/01/10 00:00,0.7741,VendorTW,L037,ENG2,EQP-02
PART-B01,Roughness,2025/01/10 06:00,0.7862,VendorTW,L038,ENG3,EQP-01
PART-B01,Roughness,2025/01/10 12:00,0.7877,VendorTW,L039,ENG2,EQP-02
PART-B01,Roughness,2025/01/10 18:00,0.802,VendorTW,L040,ENG2,EQP-03
PART-B01,Roughness,2025/01/11 00:00,0.8075,VendorTW,L041,ENG2,EQP-01
PART-B01,Roughness,2025/01/11 06:00,0.7335,VendorTW,L042,ENG2,EQP-04
PART-B01,Roughness,2025/01/11 12:00,0.7083,VendorTW,L043,ENG1,EQP-01
PART-B01,Roughness,2025/01/11 18:00,0.8206,VendorTW,L044,ENG2,EQP-02
PART-B01,Roughness,2025/01/12 00:00,0.6098,VendorTW,L045,ENG3,EQP-03
PART-B01,Roughness,2025/01/12 06:00,0.773,VendorTW,L046,ENG2,EQP-01
PART-B01,Roughness,2025/01/12 12:00,0.8276,VendorTW,L047,ENG3,EQP-04
PART-B01,Roughness,2025/01/12 18:00,0.702,VendorTW,L048,ENG2,EQP-03
PART-B01,Roughness,2025/01/13 00:00,0.7582,VendorTW,L049,ENG3,EQP-03
PART-B01,Roughness,2025/01/13 06:00,0.8313,VendorTW,L050,ENG3,EQP-03
PART-B01,Roughness,2025/01/13 12:00,0.7757,VendorTW,L051,ENG3,EQP-01
PART-B01,Roughness,2025/01/13 18:00,0.8464,VendorTW,L052,ENG2,EQP-03
PART-B01,Roughness,2025/01/14 00:00,0.7463,VendorTW,L053,ENG2,EQP-04
PART-B01,Roughness,2025/01/14 06:00,0.6671,VendorTW,L054,ENG1,EQP-03
PART-B01,Roughness,2025/01/14 12:00,0.7754,VendorTW,L055,ENG3,EQP-01
PART-B01,Roughness,2025/01/14 18:00,0.7932,VendorTW,L056,ENG2,EQP-02
PART-B01,Roughness,2025/01/15 00:00,0.7763,VendorTW,L057,ENG1,EQP-01
PART-B01,Roughness,2025/01/15 06:00,0.8175,VendorTW,L058,ENG3,EQP-02
PART-B01,Roughness,2025/01/15 12:00,0.7573,VendorTW,L059,ENG3,EQP-01
PART-B01,Roughness,2025/01/15 18:00,0.7698,VendorTW,L060,ENG1,EQP-04
PART-B01,Roughness,2025/01/01 00:00,0.7881,VendorJP,L001,ENG3,EQP-02
PART-B01,Roughness,2025/01/01 06:00,0.8551,VendorJP,L002,ENG2,EQP-01
PART-B01,Roughness,2025/01/01 12:00,0.836,VendorJP,L003,ENG1,EQP-03
PART-B01,Roughness,2025/01/01 18:00,0.7487,VendorJP,L004,ENG1,EQP-04
PART-B01,Roughness,2025/01/02 00:00,0.8264,VendorJP,L005,ENG2,EQP-02
PART-B01,Roughness,2025/01/02 06:00,0.775,VendorJP,L006,ENG2,EQP-02
PART-B01,Roughness,2025/01/02 12:00,0.7238,VendorJP,L007,ENG3,EQP-01
PART-B01,Roughness,2025/01/02 18:00,0.8192,VendorJP,L008,ENG2,EQP-04
PART-B01,Roughness,2025/01/03 00:00,0.8093,VendorJP,L009,ENG2,EQP-03
PART-B01,Roughness,2025/01/03 06:00,0.8043,VendorJP,L010,ENG2,EQP-02
PART-B01,Roughness,2025/01/03 12:00,0.7744,VendorJP,L011,ENG3,EQP-02
PART-B01,Roughness,2025/01/03 18:00,0.7694,VendorJP,L012,ENG2,EQP-04
PART-B01,Roughness,2025/01/04 00:00,0.7935,VendorJP,L013,ENG1,EQP-03
PART-B01,Roughness,2025/01/04 06:00,0.7238,VendorJP,L014,ENG1,EQP-03
PART-B01,Roughness,2025/01/04 12:00,0.7778,VendorJP,L015,ENG1,EQP-01
PART-B01,Roughness,2025/01/04 18:00,0.8458,VendorJP,L016,ENG3,EQP-02
PART-B01,Roughness,2025/01/05 00:00,0.8343,VendorJP,L017,ENG1,EQP-04
PART-B01,Roughness,2025/01/05 06:00,0.8214,VendorJP,L018,ENG3,EQP-02
PART-B01,Roughness,2025/01/05 12:00,0.7505,VendorJP,L019,ENG2,EQP-02
PART-B01,Roughness,2025/01/05 18:00,0.8816,VendorJP,L020,ENG3,EQP-04
PART-B01,Roughness,2025/01/06 00:00,0.8965,VendorJP,L021,ENG3,EQP-03
PART-B01,Roughness,2025/01/06 06:00,0.8089,VendorJP,L022,ENG2,EQP-04
PART-B01,Roughness,2025/01/06 12:00,0.8371,VendorJP,L023,ENG3,EQP-01
PART-B01,Roughness,2025/01/06 18:00,0.7238,VendorJP,L024,ENG1,EQP-02
PART-B01,Roughness,2025/01/07 00:00,0.8512,VendorJP,L025,ENG1,EQP-03
PART-B01,Roughness,2025/01/07 06:00,0.7904,VendorJP,L026,ENG1,EQP-03
PART-B01,Roughness,2025/01/07 12:00,0.7821,VendorJP,L027,ENG2,EQP-02
PART-B01,Roughness,2025/01/07 18:00,0.7777,VendorJP,L028,ENG1,EQP-04
PART-B01,Roughness,2025/01/08 00:00,0.7505,VendorJP,L029,ENG1,EQP-04
PART-B01,Roughness,2025/01/08 06:00,0.7445,VendorJP,L030,ENG3,EQP-01
PART-B01,Roughness,2025/01/08 12:00,0.7551,VendorJP,L031,ENG2,EQP-02
PART-B01,Roughness,2025/01/08 18:00,0.7745,VendorJP,L032,ENG3,EQP-04
