GroupName,ChartName,point_time,point_val,Matching,Lot No,Inspector,Equipment
PART-A02,Thickness,2025/01/01 00:00,115.8816,VendorTW,L001,ENG1,EQP-03
PART-A02,Thickness,2025/01/01 06:00,119.2142,VendorTW,L002,ENG1,EQP-04
PART-A02,Thickness,2025/01/01 12:00,116.5032,VendorTW,L003,ENG2,EQP-02
PART-A02,Thickness,2025/01/01 18:00,117.4911,VendorTW,L004,ENG3,EQP-04
PART-A02,Thickness,2025/01/02 00:00,119.8354,VendorTW,L005,ENG1,EQP-02
PART-A02,Thickness,2025/01/02 06:00,118.4467,VendorTW,L006,ENG1,EQP-01
PART-A02,Thickness,2025/01/02 12:00,119.5842,VendorTW,L007,ENG1,EQP-03
PART-A02,Thickness,2025/01/02 18:00,118.1878,VendorTW,L008,ENG3,EQP-04
PART-A02,Thickness,2025/01/03 00:00,115.094,VendorTW,L009,ENG3,EQP-03
PART-A02,Thickness,2025/01/03 06:00,126.1611,VendorTW,L010,ENG1,EQP-04
PART-A02,Thickness,2025/01/03 12:00,119.335,VendorTW,L011,ENG3,EQP-04
PART-A02,Thickness,2025/01/03 18:00,116.9408,VendorTW,L012,ENG3,EQP-03
PART-A02,Thickness,2025/01/04 00:00,114.88,VendorTW,L013,ENG1,EQP-01
PART-A02,Thickness,2025/01/04 06:00,116.8535,VendorTW,L014,ENG1,EQP-02
PART-A02,Thickness,2025/01/04 12:00,120.6777,VendorTW,L015,ENG1,EQP-02
PART-A02,Thickness,2025/01/04 18:00,123.8458,VendorTW,L016,ENG1,EQP-01
PART-A02,Thickness,2025/01/05 00:00,119.7875,VendorTW,L017,ENG1,EQP-03
PART-A02,Thickness,2025/01/05 06:00,114.8168,VendorTW,L018,ENG1,EQP-01
PART-A02,Thickness,2025/01/05 12:00,116.0847,VendorTW,L019,ENG2,EQP-04
PART-A02,Thickness,2025/01/05 18:00,116.8433,VendorTW,L020,ENG3,EQP-01
PART-A02,Thickness,2025/01/06 00:00,117.0531,VendorTW,L021,ENG3,EQP-03
PART-A02,Thickness,2025/01/06 06:00,119.8564,VendorTW,L022,ENG3,EQP-01
PART-A02,Thickness,2025/01/06 12:00,116.9651,VendorTW,L023,ENG1,EQP-03
PART-A02,Thickness,2025/01/06 18:00,119.6772,VendorTW,L024,ENG1,EQP-03
PART-A02,Thickness,2025/01/07 00:00,119.2947,VendorTW,L025,ENG2,EQP-03
PART-A02,Thickness,2025/01/07 06:00,120.221,VendorTW,L026,ENG1,EQP-02
PART-A02,Thickness,2025/01/07 12:00,118.0494,VendorTW,L027,ENG2,EQP-02
PART-A02,Thickness,2025/01/07 18:00,124.5377,VendorTW,L028,ENG1,EQP-04
PART-A02,Thickness,2025/01/08 00:00,120.3001,VendorTW,L029,ENG2,EQP-04
PART-A02,Thickness,2025/01/08 06:00,122.5538,VendorTW,L030,ENG1,EQP-01
PART-A02,Thickness,2025/01/08 12:00,118.6918,VendorTW,L031,ENG2,EQP-01
PART-A02,Thickness,2025/01/08 18:00,122.6628,VendorTW,L032,ENG1,EQP-04
PART-A02,Thickness,2025/01/09 00:00,115.6237,VendorTW,L033,ENG2,EQP-04
PART-A02,Thickness,2025/01/09 06:00,117.8254,VendorTW,L034,ENG3,EQP-02
PART-A02,Thickness,2025/01/09 12:00,118.0286,VendorTW,L035,ENG3,EQP-02
PART-A02,Thickness,2025/01/09 18:00,120.3752,VendorTW,L036,ENG1,EQP-03
PART-A02,Thickness,2025/01/10 00:00,119.4183,VendorTW,L037,ENG1,EQP-04
PART-A02,Thickness,2025/01/10 06:00,122.1535,VendorTW,L038,ENG3,EQP-01
PART-A02,Thickness,2025/01/10 12:00,118.3615,VendorTW,L039,ENG1,EQP-03
PART-A02,Thickness,2025/01/10 18:00,120.8284,VendorTW,L040,ENG2,EQP-03
PART-A02,Thickness,2025/01/11 00:00,119.9109,VendorTW,L041,ENG1,EQP-04
PART-A02,Thickness,2025/01/11 06:00,113.1521,VendorTW,L042,ENG2,EQP-04
PART-A02,Thickness,2025/01/11 12:00,114.4669,VendorTW,L043,ENG3,EQP-04
PART-A02,Thickness,2025/01/11 18:00,117.2182,VendorTW,L044,ENG1,EQP-04
PART-A02,Thickness,2025/01/12 00:00,116.8703,VendorTW,L045,ENG1,EQP-02
PART-A02,Thickness,2025/01/12 06:00,118.8877,VendorTW,L046,ENG3,EQP-04
PART-A02,Thickness,2025/01/12 12:00,118.791,VendorTW,L047,ENG2,EQP-02
PART-A02,Thickness,2025/01/12 18:00,119.6419,VendorTW,L048,ENG2,EQP-02
