GroupName,ChartName,point_time,point_val,Matching,Lot No,Inspector,Equipment
PART-A01,Flatness,2025/01/01 00:00,0.2044,VendorTW,L001,ENG1,EQP-04
PART-A01,Flatness,2025/01/01 06:00,0.216,VendorTW,L002,ENG2,EQP-02
PART-A01,Flatness,2025/01/01 12:00,0.1708,VendorTW,L003,ENG2,EQP-02
PART-A01,Flatness,2025/01/01 18:00,0.1824,VendorTW,L004,ENG1,EQP-03
PART-A01,Flatness,2025/01/02 00:00,0.1871,VendorTW,L005,ENG3,EQP-02
PART-A01,Flatness,2025/01/02 06:00,0.193,VendorTW,L006,ENG1,EQP-01
PART-A01,Flatness,2025/01/02 12:00,0.2398,VendorTW,L007,ENG1,EQP-03
PART-A01,Flatness,2025/01/02 18:00,0.2061,VendorTW,L008,ENG2,EQP-01
PART-A01,Flatness,2025/01/03 00:00,0.1922,VendorTW,L009,ENG1,EQP-04
PART-A01,Flatness,2025/01/03 06:00,0.2502,VendorTW,L010,ENG1,EQP-02
PART-A01,Flatness,2025/01/03 12:00,0.2087,VendorTW,L011,ENG1,EQP-04
PART-A01,Flatness,2025/01/03 18:00,0.2013,VendorTW,L012,ENG2,EQP-02
PART-A01,Flatness,2025/01/04 00:00,0.1944,VendorTW,L013,ENG3,EQP-02
PART-A01,Flatness,2025/01/04 06:00,0.2171,VendorTW,L014,ENG3,EQP-04
PART-A01,Flatness,2025/01/04 12:00,0.209,VendorTW,L015,ENG2,EQP-02
PART-A01,Flatness,2025/01/04 18:00,0.1909,VendorTW,L016,ENG1,EQP-04
PART-A01,Flatness,2025/01/05 00:00,0.2179,VendorTW,L017,ENG2,EQP-02
PART-A01,Flatness,2025/01/05 06:00,0.2055,VendorTW,L018,ENG2,EQP-01
PART-A01,Flatness,2025/01/05 12:00,0.2203,VendorTW,L019,ENG2,EQP-01
PART-A01,Flatness,2025/01/05 18:00,0.1963,VendorTW,L020,ENG2,EQP-03
PART-A01,Flatness,2025/01/06 00:00,0.2027,VendorTW,L021,ENG3,EQP-03
PART-A01,Flatness,2025/01/06 06:00,0.1788,VendorTW,L022,ENG1,EQP-02
