GroupName,ChartName,point_time,point_val,Matching,Lot No,Inspector,Equipment
PART-B01,Thickness,2025/01/01 00:00,122.4849,VendorTW,L001,ENG3,EQP-03
PART-B01,Thickness,2025/01/01 06:00,119.9959,VendorTW,L002,ENG1,EQP-02
PART-B01,Thickness,2025/01/01 12:00,120.1836,VendorTW,L003,ENG2,EQP-02
PART-B01,Thickness,2025/01/01 18:00,120.7372,VendorTW,L004,ENG1,EQP-04
PART-B01,Thickness,2025/01/02 00:00,121.622,VendorTW,L005,ENG2,EQP-01
PART-B01,Thickness,2025/01/02 06:00,111.6164,VendorTW,L006,ENG1,EQP-03
PART-B01,Thickness,2025/01/02 12:00,125.7363,VendorTW,L007,ENG2,EQP-01
PART-B01,Thickness,2025/01/02 18:00,117.9584,VendorTW,L008,ENG3,EQP-01
PART-B01,Thickness,2025/01/03 00:00,120.6394,VendorTW,L009,ENG1,EQP-01
PART-B01,Thickness,2025/01/03 06:00,120.2513,VendorTW,L010,ENG3,EQP-04
PART-B01,Thickness,2025/01/03 12:00,119.1056,VendorTW,L011,ENG2,EQP-04
PART-B01,Thickness,2025/01/03 18:00,120.9703,VendorTW,L012,ENG3,EQP-02
PART-B01,Thickness,2025/01/04 00:00,113.5351,VendorTW,L013,ENG1,EQP-04
PART-B01,Thickness,2025/01/04 06:00,115.1661,VendorTW,L014,ENG1,EQP-03
PART-B01,Thickness,2025/01/04 12:00,122.095,VendorTW,L015,ENG3,EQP-03
PART-B01,Thickness,2025/01/04 18:00,114.7348,VendorTW,L016,ENG3,EQP-04
PART-B01,Thickness,2025/01/05 00:00,115.6399,VendorTW,L017,ENG2,EQP-01
PART-B01,Thickness,2025/01/05 06:00,122.3261,VendorTW,L018,ENG1,EQP-01
PART-B01,Thickness,2025/01/05 12:00,118.0178,VendorTW,L019,ENG1,EQP-01
PART-B01,Thickness,2025/01/05 18:00,123.0106,VendorTW,L020,ENG1,EQP-01
PART-B01,Thickness,2025/01/06 00:00,120.169,VendorTW,L021,ENG3,EQP-02
PART-B01,Thickness,2025/01/06 06:00,120.5038,VendorTW,L022,ENG3,EQP-03
PART-B01,Thickness,2025/01/06 12:00,121.0135,VendorTW,L023,ENG3,EQP-02
PART-B01,Thickness,2025/01/06 18:00,117.6512,VendorTW,L024,ENG1,EQP-03
PART-B01,Thickness,2025/01/07 00:00,118.5412,VendorTW,L025,ENG1,EQP-01
PART-B01,Thickness,2025/01/07 06:00,121.3689,VendorTW,L026,ENG3,EQP-04
PART-B01,Thickness,2025/01/07 12:00,118.4015,VendorTW,L027,ENG2,EQP-03
PART-B01,Thickness,2025/01/07 18:00,124.063,VendorTW,L028,ENG1,EQP-04
PART-B01,Thickness,2025/01/08 00:00,114.6791,VendorTW,L029,ENG2,EQP-01
PART-B01,Thickness,2025/01/08 06:00,119.0513,VendorTW,L030,ENG1,EQP-01
PART-B01,Thickness,2025/01/08 12:00,123.9645,VendorTW,L031,ENG1,EQP-01
PART-B01,Thickness,2025/01/08 18:00,121.2335,VendorTW,L032,ENG2,EQP-02
PART-B01,Thickness,2025/01/09 00:00,126.1827,VendorTW,L033,ENG3,EQP-04
PART-B01,Thickness,2025/01/09 06:00,115.2722,VendorTW,L034,ENG2,EQP-03
PART-B01,Thickness,2025/01/09 12:00,114.7434,VendorTW,L035,ENG1,EQP-01
PART-B01,Thickness,2025/01/09 18:00,118.6937,VendorTW,L036,ENG2,EQP-03
PART-B01,Thickness,2025/01/10 00:00,117.7168,VendorTW,L037,ENG1,EQP-04
PART-B01,Thickness,2025/01/10 06:00,114.9801,VendorTW,L038,ENG3,EQP-01
PART-B01,Thickness,2025/01/10 12:00,118.3605,VendorTW,L039,ENG3,EQP-03
PART-B01,Thickness,2025/01/10 18:00,118.581,VendorTW,L040,ENG2,EQP-01
PART-B01,Thickness,2025/01/11 00:00,116.6375,VendorTW,L041,ENG1,EQP-03
PART-B01,Thickness,2025/01/11 06:00,120.4642,VendorTW,L042,ENG1,EQP-04
PART-B01,Thickness,2025/01/11 12:00,116.7713,VendorTW,L043,ENG3,EQP-02
PART-B01,Thickness,2025/01/11 18:00,117.3602,VendorTW,L044,ENG1,EQP-04
PART-B01,Thickness,2025/01/12 00:00,115.5177,VendorTW,L045,ENG3,EQP-02
PART-B01,Thickness,2025/01/12 06:00,118.2576,VendorTW,L046,ENG1,EQP-02
PART-B01,Thickness,2025/01/12 12:00,114.0739,VendorTW,L047,ENG1,EQP-04
PART-B01,Thickness,2025/01/12 18:00,118.0548,VendorTW,L048,ENG3,EQP-03
PART-B01,Thickness,2025/01/13 00:00,113.861,VendorTW,L049,ENG2,EQP-03
PART-B01,Thickness,2025/01/13 06:00,117.5553,VendorTW,L050,ENG3,EQP-01
PART-B01,Thickness,2025/01/13 12:00,120.8771,VendorTW,L051,ENG3,EQP-02
PART-B01,Thickness,2025/01/13 18:00,114.3099,VendorTW,L052,ENG1,EQP-02
PART-B01,Thickness,2025/01/14 00:00,115.7956,VendorTW,L053,ENG2,EQP-03
PART-B01,Thickness,2025/01/14 06:00,121.3504,VendorTW,L054,ENG2,EQP-01
PART-B01,Thickness,2025/01/14 12:00,121.9465,VendorTW,L055,ENG2,EQP-02
PART-B01,Thickness,2025/01/14 18:00,122.387,VendorTW,L056,ENG3,EQP-01
PART-B01,Thickness,2025/01/15 00:00,119.8686,VendorTW,L057,ENG3,EQP-04
PART-B01,Thickness,2025/01/15 06:00,118.5891,VendorTW,L058,ENG1,EQP-03
PART-B01,Thickness,2025/01/15 12:00,120.2491,VendorTW,L059,ENG1,EQP-02
PART-B01,Thickness,2025/01/15 18:00,116.1717,VendorTW,L060,ENG3,EQP-02
PART-B01,Thickness,2025/01/01 00:00,118.1776,VendorJP,L001,ENG1,EQP-02
PART-B01,Thickness,2025/01/01 06:00,122.4994,VendorJP,L002,ENG3,EQP-02
PART-B01,Thickness,2025/01/01 12:00,121.8066,VendorJP,L003,ENG1,EQP-03
PART-B01,Thickness,2025/01/01 18:00,121.0358,VendorJP,L004,ENG3,EQP-01
PART-B01,Thickness,2025/01/02 00:00,119.5159,VendorJP,L005,ENG1,EQP-03
PART-B01,Thickness,2025/01/02 06:00,119.4675,VendorJP,L006,ENG1,EQP-01
PART-B01,Thickness,2025/01/02 12:00,121.402,VendorJP,L007,ENG2,EQP-02
PART-B01,Thickness,2025/01/02 18:00,124.0453,VendorJP,L008,ENG2,EQP-04
PART-B01,Thickness,2025/01/03 00:00,122.065,VendorJP,L009,ENG1,EQP-04
PART-B01,Thickness,2025/01/03 06:00,119.1526,VendorJP,L010,ENG1,EQP-03
PART-B01,Thickness,2025/01/03 12:00,119.0491,VendorJP,L011,ENG1,EQP-02
PART-B01,Thickness,2025/01/03 18:00,123.0005,VendorJP,L012,ENG2,EQP-04
PART-B01,Thickness,2025/01/04 00:00,110.4753,VendorJP,L013,ENG3,EQP-01
PART-B01,Thickness,2025/01/04 06:00,127.4029,VendorJP,L014,ENG2,EQP-04
PART-B01,Thickness,2025/01/04 12:00,118.2499,VendorJP,L015,ENG2,EQP-01
PART-B01,Thickness,2025/01/04 18:00,124.2972,VendorJP,L016,ENG3,EQP-01
PART-B01,Thickness,2025/01/05 00:00,119.5551,VendorJP,L017,ENG2,EQP-02
PART-B01,Thickness,2025/01/05 06:00,117.6168,VendorJP,L018,ENG2,EQP-01
PART-B01,Thickness,2025/01/05 12:00,116.9487,VendorJP,L019,ENG3,EQP-03
PART-B01,Thickness,2025/01/05 18:00,116.6231,VendorJP,L020,ENG1,EQP-03
PART-B01,Thickness,2025/01/06 00:00,123.2362,VendorJP,L021,ENG1,EQP-01
PART-B01,Thickness,2025/01/06 06:00,116.2531,VendorJP,L022,ENG2,EQP-03
PART-B01,Thickness,2025/01/06 12:00,122.6228,VendorJP,L023,ENG1,EQP-02
PART-B01,Thickness,2025/01/06 18:00,118.6915,VendorJP,L024,ENG1,EQP-01
PART-B01,Thickness,2025/01/07 00:00,119.3178,VendorJP,L025,ENG3,EQP-02
PART-B01,Thickness,2025/01/07 06:00,118.8387,VendorJP,L026,ENG1,EQP-01
PART-B01,Thickness,2025/01/07 12:00,119.2851,VendorJP,L027,ENG3,EQP-01
PART-B01,Thickness,2025/01/07 18:00,118.0102,VendorJP,L028,ENG1,EQP-04
PART-B01,Thickness,2025/01/08 00:00,114.1712,VendorJP,L029,ENG1,EQP-04
PART-B01,Thickness,2025/01/08 06:00,119.6165,VendorJP,L030,ENG3,EQP-04
PART-B01,Thickness,2025/01/08 12:00,125.5932,VendorJP,L031,ENG3,EQP-02
PART-B01,Thickness,2025/01/08 18:00,120.8204,VendorJP,L032,ENG3,EQP-04
PART-B01,Thickness,2025/01/09 00:00,117.1503,VendorJP,L033,ENG2,EQP-02
PART-B01,Thickness,2025/01/09 06:00,117.0159,VendorJP,L034,ENG3,EQP-02
PART-B01,Thickness,2025/01/09 12:00,120.7259,VendorJP,L035,ENG1,EQP-02
PART-B01,Thickness,2025/01/09 18:00,116.3531,VendorJP,L036,ENG2,EQP-03
PART-B01,Thickness,2025/01/10 00:00,118.2355,VendorJP,L037,ENG2,EQP-04
PART-B01,Thickness,2025/01/10 06:00,121.0999,VendorJP,L038,ENG2,EQP-01
PART-B01,Thickness,2025/01/10 12:00,116.5658,VendorJP,L039,ENG3,EQP-03
PART-B01,Thickness,2025/01/10 18:00,117.5776,VendorJP,L040,ENG1,EQP-02
PART-B01,Thickness,2025/01/11 00:00,118.9221,VendorJP,L041,ENG1,EQP-02
PART-B01,Thickness,2025/01/11 06:00,119.5632,VendorJP,L042,ENG1,EQP-02
PART-B01,Thickness,2025/01/11 12:00,117.8967,VendorJP,L043,ENG3,EQP-02
PART-B01,Thickness,2025/01/11 18:00,115.1096,VendorJP,L044,ENG1,EQP-03
PART-B01,Thickness,2025/01/12 00:00,117.8921,VendorJP,L045,ENG1,EQP-01
PART-B01,Thickness,2025/01/12 06:00,118.6659,VendorJP,L046,ENG2,EQP-04
PART-B01,Thickness,2025/01/12 12:00,122.2427,VendorJP,L047,ENG1,EQP-02
PART-B01,Thickness,2025/01/12 18:00,123.1561,VendorJP,L048,ENG2,EQP-03
PART-B01,Thickness,2025/01/13 00:00,120.9506,VendorJP,L049,ENG1,EQP-02
PART-B01,Thickness,2025/01/13 06:00,118.6697,VendorJP,L050,ENG2,EQP-02
PART-B01,Thickness,2025/01/13 12:00,116.7718,VendorJP,L051,ENG3,EQP-04
PART-B01,Thickness,2025/01/13 18:00,123.6218,VendorJP,L052,ENG3,EQP-04
PART-B01,Thickness,2025/01/14 00:00,120.2701,VendorJP,L053,ENG2,EQP-03
PART-B01,Thickness,2025/01/14 06:00,113.8502,VendorJP,L054,ENG2,EQP-03
PART-B01,Thickness,2025/01/14 12:00,114.3018,VendorJP,L055,ENG2,EQP-02
PART-B01,Thickness,2025/01/14 18:00,117.928,VendorJP,L056,ENG1,EQP-02
PART-B01,Thickness,2025/01/15 00:00,123.2596,VendorJP,L057,ENG1,EQP-03
PART-B01,Thickness,2025/01/15 06:00,121.0479,VendorJP,L058,ENG2,EQP-01
PART-B01,Thickness,2025/01/15 12:00,126.014,VendorJP,L059,ENG2,EQP-04
PART-B01,Thickness,2025/01/15 18:00,116.81,VendorJP,L060,ENG2,EQP-02
PART-B01,Thickness,2025/01/01 00:00,126.4676,VendorKR,L001,ENG1,EQP-01
PART-B01,Thickness,2025/01/01 06:00,120.425,VendorKR,L002,ENG1,EQP-01
PART-B01,Thickness,2025/01/01 12:00,123.5168,VendorKR,L003,ENG3,EQP-02
PART-B01,Thickness,2025/01/01 18:00,129.0894,VendorKR,L004,ENG1,EQP-04
PART-B01,Thickness,2025/01/02 00:00,123.9144,VendorKR,L005,ENG1,EQP-03
PART-B01,Thickness,2025/01/02 06:00,116.7359,VendorKR,L006,ENG3,EQP-04
PART-B01,Thickness,2025/01/02 12:00,127.6176,VendorKR,L007,ENG3,EQP-04
PART-B01,Thickness,2025/01/02 18:00,126.7042,VendorKR,L008,ENG3,EQP-04
PART-B01,Thickness,2025/01/03 00:00,121.3666,VendorKR,L009,ENG2,EQP-03
PART-B01,Thickness,2025/01/03 06:00,122.4598,VendorKR,L010,ENG3,EQP-04
PART-B01,Thickness,2025/01/03 12:00,126.9841,VendorKR,L011,ENG3,EQP-03
PART-B01,Thickness,2025/01/03 18:00,122.4812,VendorKR,L012,ENG3,EQP-03
PART-B01,Thickness,2025/01/04 00:00,120.0659,VendorKR,L013,ENG1,EQP-02
PART-B01,Thickness,2025/01/04 06:00,120.9646,VendorKR,L014,ENG1,EQP-04
PART-B01,Thickness,2025/01/04 12:00,119.7137,VendorKR,L015,ENG3,EQP-04
PART-B01,Thickness,2025/01/04 18:00,125.9096,VendorKR,L016,ENG2,EQP-02
PART-B01,Thickness,2025/01/05 00:00,122.0068,VendorKR,L017,ENG2,EQP-04
PART-B01,Thickness,2025/01/05 06:00,118.8456,VendorKR,L018,ENG1,EQP-01
PART-B01,Thickness,2025/01/05 12:00,114.4977,VendorKR,L019,ENG1,EQP-03
PART-B01,Thickness,2025/01/05 18:00,125.8429,VendorKR,L020,ENG3,EQP-02
PART-B01,Thickness,2025/01/06 00:00,118.9805,VendorKR,L021,ENG2,EQP-01
PART-B01,Thickness,2025/01/06 06:00,121.8962,VendorKR,L022,ENG1,EQP-04
PART-B01,Thickness,2025/01/06 12:00,119.068,VendorKR,L023,ENG2,EQP-01
PART-B01,Thickness,2025/01/06 18:00,122.2097,VendorKR,L024,ENG2,EQP-03
PART-B01,Thickness,2025/01/07 00:00,114.2158,VendorKR,L025,ENG2,EQP-04
PART-B01,Thickness,2025/01/07 06:00,124.1249,VendorKR,L026,ENG3,EQP-04
PART-B01,Thickness,2025/01/07 12:00,123.7783,VendorKR,L027,ENG3,EQP-04
PART-B01,Thickness,2025/01/07 18:00,121.0478,VendorKR,L028,ENG3,EQP-01
PART-B01,Thickness,2025/01/08 00:00,123.4095,VendorKR,L029,ENG2,EQP-03
PART-B01,Thickness,2025/01/08 06:00,123.9633,VendorKR,L030,ENG2,EQP-01
