GroupName,ChartName,point_time,point_val,Matching,Lot No,Inspector,Equipment
PART-A02,Hardness,2025/01/01 00:00,54.3134,VendorTW,L001,ENG2,EQP-02
PART-A02,Hardness,2025/01/01 06:00,54.3948,VendorTW,L002,ENG3,EQP-03
PART-A02,Hardness,2025/01/01 12:00,53.2478,VendorTW,L003,ENG1,EQP-03
PART-A02,Hardness,2025/01/01 18:00,53.5182,VendorTW,L004,ENG2,EQP-04
PART-A02,Hardness,2025/01/02 00:00,51.9346,VendorTW,L005,ENG3,EQP-02
PART-A02,Hardness,2025/01/02 06:00,54.2653,VendorTW,L006,ENG3,EQP-01
PART-A02,Hardness,2025/01/02 12:00,56.5725,VendorTW,L007,ENG2,EQP-03
PART-A02,Hardness,2025/01/02 18:00,56.3918,VendorTW,L008,ENG1,EQP-02
PART-A02,Hardness,2025/01/03 00:00,53.1499,VendorTW,L009,ENG1,EQP-01
PART-A02,Hardness,2025/01/03 06:00,52.5097,VendorTW,L010,ENG3,EQP-01
PART-A02,Hardness,2025/01/03 12:00,52.9715,VendorTW,L011,ENG2,EQP-04
PART-A02,Hardness,2025/01/03 18:00,55.3773,VendorTW,L012,ENG3,EQP-04
PART-A02,Hardness,2025/01/04 00:00,56.6499,VendorTW,L013,ENG1,EQP-02
PART-A02,Hardness,2025/01/04 06:00,54.0012,VendorTW,L014,ENG3,EQP-03
PART-A02,Hardness,2025/01/04 12:00,54.4942,VendorTW,L015,ENG2,EQP-01
PART-A02,Hardness,2025/01/04 18:00,55.9783,VendorTW,L016,ENG2,EQP-01
PART-A02,Hardness,2025/01/05 00:00,57.4813,VendorTW,L017,ENG3,EQP-03
PART-A02,Hardness,2025/01/05 06:00,54.9599,VendorTW,L018,ENG3,EQP-01
PART-A02,Hardness,2025/01/05 12:00,56.7656,VendorTW,L019,ENG2,EQP-01
PART-A02,Hardness,2025/01/05 18:00,56.1328,VendorTW,L020,ENG3,EQP-02
PART-A02,Hardness,2025/01/06 00:00,54.619,VendorTW,L021,ENG1,EQP-04
PART-A02,Hardness,2025/01/06 06:00,54.769,VendorTW,L022,ENG3,EQP-04
PART-A02,Hardness,2025/01/06 12:00,54.0385,VendorTW,L023,ENG2,EQP-01
PART-A02,Hardness,2025/01/06 18:00,50.9866,VendorTW,L024,ENG3,EQP-03
PART-A02,Hardness,2025/01/07 00:00,52.3788,VendorTW,L025,ENG3,EQP-03
