GroupName,ChartName,point_time,point_val,Matching,Lot No,Inspector,Equipment
PART-A01,Hardness,2025/01/01 00:00,58.0271,VendorTW,L001,ENG1,EQP-04
PART-A01,Hardness,2025/01/01 06:00,53.5955,VendorTW,L002,ENG1,EQP-03
PART-A01,Hardness,2025/01/01 12:00,54.185,VendorTW,L003,ENG2,EQP-03
PART-A01,Hardness,2025/01/01 18:00,57.006,VendorTW,L004,ENG2,EQP-01
PART-A01,Hardness,2025/01/02 00:00,53.5482,VendorTW,L005,ENG2,EQP-02
PART-A01,Hardness,2025/01/02 06:00,54.4384,VendorTW,L006,ENG3,EQP-01
PART-A01,Hardness,2025/01/02 12:00,51.871,VendorTW,L007,ENG1,EQP-03
PART-A01,Hardness,2025/01/02 18:00,54.162,VendorTW,L008,ENG1,EQP-03
PART-A01,Hardness,2025/01/03 00:00,56.1001,VendorTW,L009,ENG2,EQP-02
PART-A01,Hardness,2025/01/03 06:00,53.1635,VendorTW,L010,ENG2,EQP-01
PART-A01,Hardness,2025/01/03 12:00,53.2693,VendorTW,L011,ENG3,EQP-04
PART-A01,Hardness,2025/01/03 18:00,51.914,VendorTW,L012,ENG1,EQP-03
PART-A01,Hardness,2025/01/04 00:00,53.9685,VendorTW,L013,ENG3,EQP-03
PART-A01,Hardness,2025/01/04 06:00,51.0566,VendorTW,L014,ENG3,EQP-01
PART-A01,Hardness,2025/01/04 12:00,58.3891,VendorTW,L015,ENG1,EQP-01
PART-A01,Hardness,2025/01/04 18:00,51.9805,VendorTW,L016,ENG1,EQP-01
PART-A01,Hardness,2025/01/05 00:00,52.6768,VendorTW,L017,ENG3,EQP-02
PART-A01,Hardness,2025/01/05 06:00,52.0063,VendorTW,L018,ENG3,EQP-01
PART-A01,Hardness,2025/01/05 12:00,49.4237,VendorTW,L019,ENG2,EQP-02
PART-A01,Hardness,2025/01/05 18:00,55.9837,VendorTW,L020,ENG3,EQP-03
PART-A01,Hardness,2025/01/06 00:00,56.5524,VendorTW,L021,ENG1,EQP-04
PART-A01,Hardness,2025/01/06 06:00,55.9535,VendorTW,L022,ENG1,EQP-03
PART-A01,Hardness,2025/01/06 12:00,55.7208,VendorTW,L023,ENG2,EQP-04
PART-A01,Hardness,2025/01/06 18:00,54.3281,VendorTW,L024,ENG2,EQP-01
PART-A01,Hardness,2025/01/07 00:00,57.2055,VendorTW,L025,ENG3,EQP-02
PART-A01,Hardness,2025/01/07 06:00,57.5443,VendorTW,L026,ENG3,EQP-03
PART-A01,Hardness,2025/01/07 12:00,56.5079,VendorTW,L027,ENG3,EQP-02
PART-A01,Hardness,2025/01/07 18:00,53.6681,VendorTW,L028,ENG1,EQP-03
PART-A01,Hardness,2025/01/08 00:00,55.6555,VendorTW,L029,ENG3,EQP-02
PART-A01,Hardness,2025/01/08 06:00,56.9792,VendorTW,L030,ENG2,EQP-01
PART-A01,Hardness,2025/01/08 12:00,59.7634,VendorTW,L031,ENG1,EQP-03
PART-A01,Hardness,2025/01/08 18:00,55.8908,VendorTW,L032,ENG3,EQP-02
PART-A01,Hardness,2025/01/09 00:00,48.5773,VendorTW,L033,ENG1,EQP-04
PART-A01,Hardness,2025/01/09 06:00,55.3272,VendorTW,L034,ENG2,EQP-02
PART-A01,Hardness,2025/01/09 12:00,50.9056,VendorTW,L035,ENG2,EQP-01
PART-A01,Hardness,2025/01/09 18:00,54.9988,VendorTW,L036,ENG1,EQP-02
PART-A01,Hardness,2025/01/10 00:00,52.4085,VendorTW,L037,ENG1,EQP-03
PART-A01,Hardness,2025/01/10 06:00,49.4911,VendorTW,L038,ENG1,EQP-03
PART-A01,Hardness,2025/01/10 12:00,53.9189,VendorTW,L039,ENG1,EQP-01
PART-A01,Hardness,2025/01/10 18:00,54.5859,VendorTW,L040,ENG2,EQP-02
PART-A01,Hardness,2025/01/11 00:00,55.0876,VendorTW,L041,ENG3,EQP-01
PART-A01,Hardness,2025/01/11 06:00,52.047,VendorTW,L042,ENG3,EQP-02
