GroupName,ChartName,point_time,point_val,Matching,Lot No,Inspector,Equipment
PART-B01,Hardness,2025/01/01 00:00,56.401,VendorTW,L001,ENG2,EQP-04
PART-B01,Hardness,2025/01/01 06:00,53.3882,VendorTW,L002,ENG3,EQP-02
PART-B01,Hardness,2025/01/01 12:00,49.8732,VendorTW,L003,ENG3,EQP-01
PART-B01,Hardness,2025/01/01 18:00,53.2488,VendorTW,L004,ENG2,EQP-03
PART-B01,Hardness,2025/01/02 00:00,56.2037,VendorTW,L005,ENG3,EQP-01
PART-B01,Hardness,2025/01/02 06:00,53.5817,VendorTW,L006,ENG3,EQP-02
PART-B01,Hardness,2025/01/02 12:00,56.0067,VendorTW,L007,ENG3,EQP-01
PART-B01,Hardness,2025/01/02 18:00,55.164,VendorTW,L008,ENG1,EQP-02
PART-B01,Hardness,2025/01/03 00:00,49.1904,VendorTW,L009,ENG3,EQP-01
PART-B01,Hardness,2025/01/03 06:00,52.8559,VendorTW,L010,ENG3,EQP-01
PART-B01,Hardness,2025/01/03 12:00,53.5041,VendorTW,L011,ENG2,EQP-03
PART-B01,Hardness,2025/01/03 18:00,52.6051,VendorTW,L012,ENG2,EQP-03
PART-B01,Hardness,2025/01/04 00:00,53.2072,VendorTW,L013,ENG3,EQP-03
PART-B01,Hardness,2025/01/04 06:00,54.5114,VendorTW,L014,ENG3,EQP-02
PART-B01,Hardness,2025/01/04 12:00,52.3025,VendorTW,L015,ENG2,EQP-01
PART-B01,Hardness,2025/01/04 18:00,56.0957,VendorTW,L016,ENG3,EQP-04
PART-B01,Hardness,2025/01/05 00:00,53.4439,VendorTW,L017,ENG1,EQP-01
PART-B01,Hardness,2025/01/05 06:00,53.4105,VendorTW,L018,ENG3,EQP-04
PART-B01,Hardness,2025/01/05 12:00,57.5745,VendorTW,L019,ENG2,EQP-01
PART-B01,Hardness,2025/01/05 18:00,54.4716,VendorTW,L020,ENG3,EQP-01
PART-B01,Hardness,2025/01/06 00:00,55.824,VendorTW,L021,ENG1,EQP-03
PART-B01,Hardness,2025/01/06 06:00,52.9855,VendorTW,L022,ENG3,EQP-03
PART-B01,Hardness,2025/01/06 12:00,55.6168,VendorTW,L023,ENG2,EQP-01
PART-B01,Hardness,2025/01/06 18:00,52.7302,VendorTW,L024,ENG2,EQP-02
PART-B01,Hardness,2025/01/07 00:00,54.807,VendorTW,L025,ENG3,EQP-04
PART-B01,Hardness,2025/01/07 06:00,56.7925,VendorTW,L026,ENG3,EQP-03
